Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.256046e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 60718.059510, 53586.207666, 123915.486991, 37316.736022, 26.5%
45, 97115.526214, 77150.933727, 175921.808513, 51339.117937, 28.3%
68, 142000.603386, 103638.116801, 226790.815483, 80502.322564, 27.4%
102, 176461.806863, 123645.424143, 269347.725227, 87423.500737, 22.7%
152, 173245.358544, 145870.010437, 270533.033782, 89345.066745, 14.9%
229, 174419.739100, 141463.241121, 280996.883377, 114253.009232, 10.0%
344, 180526.825842, 149389.911699, 288464.178411, 112948.425207, 6.9%
516, 181844.010398, 169386.296406, 299040.317662, 131084.637006, 4.6%
774, 171745.995797, 175052.831880, 292362.920113, 134252.978449, 2.9%
1163, 175672.843248, 169974.745061, 296172.573654, 137834.331209, 2.0%
1746, 180282.619664, 157355.298834, 295180.698690, 144198.607680, 1.4%
2621, 181442.419936, 46502.874274, 142007.478526, 76011.593503, 0.9%
3935, 184373.418982, 46786.696457, 136752.191455, 72100.802705, 0.6%
5907, 61995.668549, 46928.271602, 136287.259525, 72247.345039, 0.1%
8869, 61872.377124, 47239.854885, 136268.977222, 71506.671230, 0.1%
13315, 61914.047295, 45572.738196, 117375.357365, 53378.045884, 0.1%
19991, 61588.688058, 42557.184120, 89946.226294, 40642.635401, 0.0%
30014, 52461.609513, 37253.439200, 85489.329778, 39003.865736, 0.0%
45061, 43796.840646, 32351.892259, 78535.966076, 37109.477212, 0.0%
67652, 41176.019882, 31014.146225, 78516.210088, 37107.031013, 0.0%
101569, 41298.537139, 31185.193579, 79943.396133, 37373.647536, 0.0%
152491, 40740.615709, 30973.215267, 77913.867257, 36882.787159, 0.0%
228943, 40487.654305, 30888.184651, 77635.119712, 36904.533905, 0.0%
343723, 40852.464782, 30889.144277, 78134.514888, 36899.483088, 0.0%
516049, 41565.957610, 31206.162982, 79520.338338, 37459.339558, 0.0%
774771, 39866.113413, 31193.977842, 76941.353911, 37537.738901, 0.0%
1163203, 39102.866238, 31194.909770, 75432.829307, 37483.120393, 0.0%
1746375, 35470.710385, 28705.732383, 44806.610567, 22969.424737, 0.0%
2621921, 28196.167799, 26249.510325, 27650.760874, 12363.254746, 0.0%
3936422, 13969.229093, 19449.787033, 24368.727534, 11666.180935, 0.0%
5909949, 11690.176831, 16662.811827, 21715.168706, 11658.438627, 0.0%
8872905, 15669.612521, 16475.673700, 28811.002941, 11645.303435, 0.0%
13321340, 7719.808081, 16370.633331, 14588.954107, 11622.601119, 0.0%
20000000, 7739.564468, 16595.017715, 14487.589430, 11663.739321, 0.0%
