Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.169595e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 66112.725330, 58494.276561, 134909.178958, 40619.719833, 28.9%
46, 107910.779716, 76766.525567, 193409.664665, 61297.774756, 30.7%
69, 131018.684191, 103335.082257, 219953.173357, 77714.304179, 24.9%
105, 157502.283902, 116613.998685, 246384.246210, 77300.333011, 19.7%
160, 175129.537231, 134572.539992, 274035.130545, 86039.610396, 14.3%
243, 179923.044421, 129394.913378, 284017.763971, 122605.430103, 9.7%
370, 182336.162537, 164909.611611, 300930.702728, 134019.605778, 6.5%
562, 171646.986431, 169175.529540, 309648.048188, 138134.457614, 4.0%
854, 179338.973167, 175876.411470, 301052.197480, 135499.100967, 2.8%
1299, 177569.073654, 172436.554961, 287403.885314, 141861.509271, 1.8%
1974, 181933.613804, 137961.459699, 298952.717483, 141246.626946, 1.2%
3000, 181689.935544, 46677.219411, 137599.881066, 73303.621565, 0.8%
4560, 66294.534308, 46951.204897, 136461.883682, 72265.890138, 0.2%
6930, 61947.053303, 47126.571873, 137075.303095, 72080.500434, 0.1%
10534, 62085.731114, 47294.615225, 136236.939529, 71501.877719, 0.1%
16010, 61887.383344, 46297.241676, 130475.987771, 56835.237621, 0.1%
24334, 61897.492654, 41682.422218, 82049.228061, 37425.726884, 0.0%
36985, 48730.631657, 34364.537229, 79511.827941, 37367.388531, 0.0%
56215, 41510.741438, 31183.596224, 79469.757800, 37471.689677, 0.0%
85441, 41525.416886, 31219.048744, 79435.231261, 37474.807565, 0.0%
129863, 41344.246689, 31220.229165, 79342.647814, 37491.710922, 0.0%
197380, 41254.717900, 31216.446033, 79209.326963, 37515.961264, 0.0%
300000, 41503.171890, 31256.805578, 79713.450209, 37510.808659, 0.0%
455973, 40959.992641, 31203.529117, 78420.629696, 37465.926919, 0.0%
693039, 40618.691460, 31220.998266, 78055.936144, 37520.539986, 0.0%
1053358, 41525.323769, 31291.525150, 79592.067274, 37559.891238, 0.0%
1601010, 40290.381120, 23776.607339, 60766.368238, 28031.335367, 0.0%
2433392, 34974.686490, 27871.308873, 30769.472280, 12396.836306, 0.0%
3698540, 17808.874341, 21262.542315, 28721.016816, 11508.438490, 0.0%
5621452, 12897.400714, 16474.088345, 23783.248984, 11505.418551, 0.0%
8544108, 11542.830493, 16287.191908, 21397.390386, 11511.226390, 0.0%
12986284, 15352.793464, 16281.660376, 28517.517690, 11513.945376, 0.0%
19737997, 7670.274794, 16212.780717, 14316.013718, 11523.111105, 0.0%
30000000, 7641.866965, 16298.984448, 14316.032087, 11512.704053, 0.0%
