Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.431055e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 15006.337797, 18018.097264, 30645.038163, 12986.527721, 6.6%
47, 17420.838973, 25903.033026, 31876.396737, 19153.726691, 4.9%
72, 28804.474984, 32034.904237, 52176.238203, 28057.361509, 5.2%
112, 34776.152087, 44002.496263, 59818.495122, 40423.155601, 4.1%
174, 53915.182740, 50616.672453, 97296.424938, 39303.118656, 4.1%
270, 59347.682133, 59229.158934, 105438.827310, 37866.794225, 2.9%
420, 73312.271794, 70197.784584, 112968.819784, 44708.812770, 2.3%
652, 91006.216469, 79414.557515, 144563.858962, 46148.600537, 1.8%
1012, 96786.885932, 80425.629542, 150447.089371, 51132.876695, 1.3%
1571, 106482.550574, 83497.023824, 162400.185429, 54810.808950, 0.9%
2438, 117059.813044, 38756.626509, 99952.345948, 58551.894602, 0.6%
3785, 118483.120617, 35234.036332, 83375.609582, 57157.182593, 0.4%
5876, 36065.218296, 35675.072050, 83797.739680, 58595.926855, 0.1%
9121, 35891.652343, 35955.051543, 84487.619008, 59442.623473, 0.1%
14159, 35722.367092, 35958.802052, 84617.624245, 60174.078542, 0.0%
21980, 34338.399065, 34830.549001, 81936.131723, 58197.544749, 0.0%
34121, 35246.805840, 35251.481293, 83258.438412, 59377.436664, 0.0%
52969, 35800.436777, 30669.605721, 74499.848748, 44867.051127, 0.0%
82227, 35736.962836, 22748.667074, 38775.508447, 15418.525740, 0.0%
127647, 23458.817106, 22205.494652, 34665.677193, 13319.209658, 0.0%
198155, 17086.456096, 17781.329127, 33273.488046, 12680.209188, 0.0%
307609, 16421.901843, 17174.888077, 32147.966461, 12456.514209, 0.0%
477521, 16985.523348, 17276.505586, 33253.212159, 12596.960492, 0.0%
741288, 16441.191915, 17208.881543, 32667.053295, 12632.195080, 0.0%
1150750, 16305.261245, 17286.244838, 31944.175505, 12595.568532, 0.0%
1786385, 15961.950734, 17337.083382, 31267.421968, 12643.672903, 0.0%
2773124, 15467.274861, 17342.610330, 30464.736729, 12668.463675, 0.0%
4304903, 14158.815847, 17095.501793, 28063.133227, 12597.991214, 0.0%
6682786, 12890.628658, 17327.872251, 25530.472204, 12700.390517, 0.0%
10374130, 17237.552438, 17401.368571, 34218.389728, 12705.648397, 0.0%
16104448, 8614.941029, 17296.083103, 17152.705958, 12721.074759, 0.0%
25000000, 8622.281126, 17350.188107, 17183.695466, 12725.833587, 0.0%
