Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.381022e+09
Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 76751.778450, 43042.890910, 125142.872937, 40336.477888, 33.5%
47, 104952.336358, 71525.597513, 167334.273704, 51238.097194, 29.3%
72, 135384.476686, 87893.211408, 184355.880269, 61752.523823, 24.6%
112, 152279.518115, 115224.886516, 216905.494770, 71716.357774, 17.8%
174, 164007.290178, 123825.681593, 260401.033106, 87836.787201, 12.4%
270, 165345.493511, 136218.500227, 271009.284745, 98417.552338, 8.0%
420, 164702.774558, 146739.721365, 274123.959403, 119791.832427, 5.1%
652, 155351.008871, 156013.469592, 259831.767115, 116166.291315, 3.1%
1012, 159952.712155, 152737.639207, 259711.509291, 125997.250346, 2.1%
1571, 146743.661354, 139646.288476, 248150.594278, 123993.475007, 1.2%
2438, 162694.982345, 49979.277492, 153038.116115, 70770.729301, 0.9%
3785, 166215.682743, 43914.448768, 123682.042437, 66119.310288, 0.6%
5876, 56906.721249, 43972.594228, 123338.030574, 65379.115292, 0.1%
9121, 56946.348143, 44154.343802, 123187.282348, 65315.855795, 0.1%
14159, 56191.876740, 41978.885607, 113981.615656, 48420.213800, 0.1%
21980, 56555.582175, 39823.748142, 81180.212377, 35843.702000, 0.0%
34121, 41276.264914, 31791.098374, 71522.513633, 33686.119321, 0.0%
52969, 38826.368140, 27526.243277, 70321.404992, 32656.336123, 0.0%
82227, 37397.022343, 28364.466214, 71472.576726, 33698.348786, 0.0%
127647, 37205.875620, 28512.796411, 71391.921631, 33817.143726, 0.0%
198155, 37338.934118, 28440.467317, 71627.989727, 33786.194305, 0.0%
307609, 36842.167078, 28405.766380, 69471.564038, 32107.392859, 0.0%
477521, 37213.149805, 28367.232136, 69984.402053, 33742.449556, 0.0%
741288, 35192.938652, 27373.424561, 67578.676154, 32112.886686, 0.0%
1150750, 32880.124200, 25466.381710, 63312.262394, 31689.395920, 0.0%
1786385, 28526.639810, 13969.359165, 37807.831881, 17846.085934, 0.0%
2773124, 17785.243022, 17876.318955, 21004.797924, 9379.384123, 0.0%
4304903, 10675.044866, 12938.600656, 17941.698408, 8496.922440, 0.0%
6682786, 8713.836741, 11955.335122, 16065.973151, 8590.639498, 0.0%
10374130, 11524.738504, 11670.116814, 21693.151699, 8638.399128, 0.0%
16104448, 5684.007129, 11681.969786, 10734.084481, 8524.661644, 0.0%
25000000, 5706.741239, 11926.197368, 10855.406000, 8629.011261, 0.0%
