Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
5197, 7855.104564, 28400.650583, 17473.951869, 3974.064740, 0.0%
5773, 7932.297022, 28666.217335, 17512.591917, 3992.551725, 0.0%
6413, 7859.179395, 28514.928603, 17448.378423, 3932.408641, 0.0%
7125, 7918.920588, 28919.066642, 17578.041158, 3940.799981, 0.0%
7915, 7956.008675, 29094.390992, 17523.494315, 3990.296562, 0.0%
8793, 7928.400566, 28864.525005, 17427.390700, 3934.130175, 0.0%
9769, 7937.158792, 29284.999404, 17424.036475, 3951.906642, 0.0%
10852, 7996.181675, 29660.713209, 17575.404644, 3995.968744, 0.0%
12056, 7888.584425, 29061.262555, 17418.263908, 3948.378663, 0.0%
13393, 7850.337179, 29209.888582, 17286.673575, 3958.696435, 0.0%
14879, 7969.608799, 29415.545835, 17675.145387, 3995.984141, 0.0%
16530, 7930.562562, 28946.436308, 17459.850565, 3967.137088, 0.0%
18363, 7945.376284, 29344.487548, 17526.859840, 3965.981351, 0.0%
20400, 7984.175975, 29603.999184, 17566.229394, 3996.516790, 0.0%
22663, 7876.992939, 29261.047861, 17449.734644, 3936.952326, 0.0%
25177, 7889.645991, 29351.131436, 17470.317519, 3970.500288, 0.0%
27970, 7940.591753, 29319.166228, 17524.476223, 3967.385666, 0.0%
31072, 7797.119038, 28891.904084, 17300.342873, 3927.856162, 0.0%
34519, 7897.522433, 20580.816751, 17379.560351, 3953.880543, 0.0%
38348, 7988.023496, 20694.352618, 17322.486195, 3968.652182, 0.0%
42602, 7880.420216, 20210.320191, 17187.251255, 3947.725793, 0.0%
47328, 7957.813513, 20234.471739, 17046.845129, 3948.836231, 0.0%
52578, 7980.192375, 20245.851702, 17123.698697, 3968.564543, 0.0%
58410, 7806.628272, 19614.334866, 15845.414122, 3868.462454, 0.0%
64889, 7816.901053, 19429.883005, 14463.627911, 3801.950993, 0.0%
72087, 7836.731996, 19165.027957, 13046.186198, 3699.371449, 0.0%
80084, 7765.467171, 18731.114710, 12738.725072, 3686.769853, 0.0%
88967, 7712.230177, 18681.750875, 12649.050270, 3674.105533, 0.0%
98836, 7700.298106, 18130.763141, 12594.705063, 3670.528009, 0.0%
109800, 7603.430685, 17707.601226, 12406.555377, 3655.621625, 0.0%
121980, 7370.442482, 17581.451933, 12533.406301, 3677.632403, 0.0%
135510, 6970.254220, 15901.976109, 12319.325055, 3645.931664, 0.0%
150542, 6696.589581, 14056.016560, 12177.016471, 3663.666191, 0.0%
167241, 6837.904683, 13737.073145, 12171.987741, 3671.082645, 0.0%
185793, 6849.882192, 13432.852621, 11954.482633, 3652.425354, 0.0%
206403, 6871.790327, 13364.602980, 12004.629012, 3664.560888, 0.0%
229298, 6964.572454, 13370.615192, 11843.970962, 3645.636342, 0.0%
254734, 7080.996938, 13176.720879, 11829.878737, 3653.527568, 0.0%
282991, 7103.035966, 13316.872556, 11829.075521, 3673.633267, 0.0%
314382, 7098.174432, 13242.696356, 11841.285593, 3643.892449, 0.0%
349256, 7059.893753, 13154.742832, 11860.190563, 3636.445815, 0.0%
387998, 7120.003547, 13222.177768, 12168.079313, 3679.809891, 0.0%
431037, 7095.787560, 13069.815614, 12091.825587, 3661.476420, 0.0%
478851, 7119.324851, 13192.596159, 12252.105668, 3677.693318, 0.0%
531969, 7126.444031, 13170.360628, 12295.047161, 3667.610052, 0.0%
590979, 7094.792411, 13265.328553, 12283.042387, 3663.481894, 0.0%
656534, 7129.495423, 13013.860385, 12203.460923, 3671.697722, 0.0%
729362, 7093.959614, 13191.046785, 12261.564330, 3661.233011, 0.0%
810268, 7225.865168, 13236.749423, 12470.342897, 3693.674791, 0.0%
900149, 7116.914599, 13125.314407, 12325.951147, 3676.468394, 0.0%
1000000, 7110.021536, 13271.578309, 12440.061129, 3677.053532, 0.0%
