Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30, 5009.365749, 12432.031185, 10432.282838, 3416.253087, 2.2%
33, 5453.105033, 9944.952418, 9992.895221, 3476.358827, 2.2%
37, 5609.803217, 11151.197931, 10412.060263, 3512.966837, 2.0%
41, 5803.021931, 12245.449823, 10885.830871, 3560.974611, 1.9%
46, 5779.413335, 14122.336893, 12249.196110, 3618.528700, 1.6%
51, 6050.742987, 15154.218940, 11674.364887, 3594.993996, 1.6%
56, 6038.903383, 16727.258388, 12950.593999, 3661.747310, 1.4%
63, 6330.262040, 18803.811664, 12510.265476, 3666.872401, 1.3%
70, 6345.261358, 14987.886849, 13769.558843, 3709.822301, 1.2%
77, 6643.613856, 13899.575715, 13397.653897, 3747.044534, 1.1%
86, 6585.432377, 18423.543300, 14308.029519, 3740.027899, 1.0%
95, 6776.879046, 17001.520676, 13777.114915, 3732.611978, 0.9%
106, 6801.421469, 19117.173047, 14789.762201, 3788.047696, 0.8%
118, 6922.834028, 25191.164835, 15052.771255, 3809.913594, 0.8%
131, 7179.930317, 18855.747898, 14943.984923, 3862.156766, 0.7%
145, 7046.336929, 20718.572072, 14999.161407, 3797.938339, 0.6%
161, 7229.326873, 23226.165929, 15350.081510, 3844.306589, 0.6%
179, 7324.329224, 25605.778941, 15648.946769, 3866.808184, 0.5%
199, 7366.530128, 23898.231514, 15591.077107, 3838.121562, 0.5%
221, 7365.885489, 26337.418242, 15998.241310, 3871.641319, 0.4%
246, 7417.806747, 32953.695175, 16525.595013, 3917.727617, 0.4%
273, 7505.240615, 28194.028128, 16293.046164, 3875.291815, 0.4%
304, 7476.875121, 31294.928402, 16763.364097, 3911.288054, 0.3%
337, 7657.238855, 30533.516106, 16691.066318, 3923.258712, 0.3%
375, 7638.971460, 33955.199462, 16653.447630, 3914.393631, 0.3%
416, 7616.936455, 33664.283112, 17035.073363, 3949.111765, 0.2%
462, 7666.020080, 35133.691298, 17032.500014, 3930.626870, 0.2%
514, 7617.470732, 31778.634232, 16991.379118, 3889.476619, 0.2%
571, 7727.194898, 35459.664945, 17154.739504, 3922.762432, 0.2%
634, 7792.175907, 38328.196438, 17278.291802, 3945.649283, 0.2%
704, 7683.665646, 38583.932761, 17258.730036, 3899.046439, 0.1%
782, 7734.133882, 38417.975385, 17319.473881, 3954.969646, 0.1%
869, 7798.365171, 39332.079075, 17383.880210, 3962.449096, 0.1%
965, 7827.519547, 37644.940953, 17273.791251, 3931.575898, 0.1%
1073, 7841.086754, 38888.279226, 17420.127681, 3955.025768, 0.1%
1192, 7783.455358, 39630.629716, 17533.190245, 3944.421819, 0.1%
1324, 7842.665253, 40531.064684, 17543.441646, 3955.220580, 0.1%
1471, 7834.687537, 42203.640633, 17557.640547, 3963.701412, 0.1%
1634, 7878.849637, 38319.032818, 17673.516426, 3961.452282, 0.1%
1815, 7816.891874, 37899.836866, 17443.951296, 3929.829033, 0.1%
2016, 7827.797753, 38531.670503, 17648.314597, 3953.254827, 0.1%
2240, 7902.147878, 33111.118937, 17543.524001, 3974.940289, 0.0%
2488, 7775.244187, 28183.467425, 17381.148591, 3937.843993, 0.0%
2764, 7861.468435, 27455.295330, 17479.465761, 3947.290691, 0.0%
3071, 7975.352426, 28290.202204, 17587.744067, 3993.530572, 0.0%
3412, 7787.171775, 27781.673178, 17380.634361, 3954.825176, 0.0%
3790, 7784.757443, 28191.812559, 17537.824524, 3943.444679, 0.0%
4211, 8007.212609, 28510.130498, 17525.336797, 3989.825259, 0.0%
4678, 7908.875863, 28248.471842, 17360.717521, 3975.060727, 0.0%
