Size (iterations), Fill (MB/s), Copy, AXPY, DOT, Uncertainty (%)
30,4922.526824,11616.00927,10413.84202,3417.114545,2.20%
34,5240.703491,10164.57069,11076.20221,3481.181605,2.00%
38,5431.421339,11540.2433,11467.91769,3525.188016,1.90%
43,5875.535109,12831.60348,11112.72971,3574.691538,1.80%
49,6074.582381,14660.39718,11617.10168,3612.918739,1.60%
55,6214.569021,16417.08568,12074.61407,3644.162101,1.50%
62,6122.237877,18797.66204,13198.55949,3663.781457,1.30%
70,6267.715562,14864.38166,13637.62928,3698.895807,1.20%
79,6623.132234,14156.53919,13317.03037,3720.602831,1.10%
90,6632.681511,16142.46272,14449.93226,3753.813758,1.00%
101,6889.066863,18172.20282,14038.69827,3771.635842,0.90%
114,6871.693786,20498.3383,14999.8648,3806.18092,0.80%
129,7080.497934,18548.58883,14815.72475,3823.748354,0.70%
145,7173.567313,20839.46111,15088.85329,3839.593569,0.60%
164,7195.194822,23642.88331,15702.87887,3855.316916,0.60%
185,7339.653465,26631.42768,15654.38122,3874.472045,0.50%
209,7393.382833,25170.51436,15852.41299,3887.083389,0.50%
236,7345.321986,28419.36589,16301.41723,3873.712426,0.40%
267,7437.446999,27331.38096,16159.08545,3873.828446,0.40%
302,7503.095582,33003.89107,16703.84994,3921.816647,0.30%
340,7563.745721,31181.38253,16848.40393,3919.160366,0.30%
384,7618.139016,34936.28183,16949.4711,3915.687718,0.30%
434,7665.101411,35242.81871,17108.15684,3921.341208,0.20%
490,7694.395457,36125.27176,17162.69238,3932.455902,0.20%
553,7737.044377,34645.20036,17070.34693,3935.529582,0.20%
625,7765.175647,37438.56573,17173.89095,3951.454576,0.20%
706,7755.151244,36581.7927,17352.37674,3952.665657,0.10%
797,7804.908348,38338.81392,17294.50903,3951.766486,0.10%
900,7821.596638,38414.43958,17411.5266,3954.324159,0.10%
1016,7813.719083,39866.29377,17533.27935,3950.365384,0.10%
1147,7807.334384,39572.57201,17416.54679,3954.662409,0.10%
1295,7868.298793,39541.552,17531.92527,3955.476432,0.10%
1462,7788.237571,42348.30219,17553.63092,3949.799203,0.10%
1651,7903.559428,39338.77011,17362.78881,3948.046447,0.10%
1864,7830.784131,37394.26179,17468.29958,3952.979592,0.10%
2105,7840.013435,36180.56359,17375.55004,3934.711453,0.00%
2377,7879.990777,29296.38296,17428.41931,3946.65073,0.00%
2684,7879.129654,27588.23872,17330.07789,3941.885154,0.00%
3030,7845.003859,27797.0375,17465.45877,3935.315468,0.00%
3421,7839.341171,27746.05506,17427.42989,3943.707763,0.00%
3863,7897.493041,28031.99029,17314.49118,3935.46152,0.00%
4362,7853.50255,27882.12983,17343.70467,3939.064804,0.00%
4926,7859.607921,28474.64591,17310.76547,3950.07861,0.00%
5562,7884.526579,28458.38221,17419.54442,3947.987467,0.00%
6280,7843.829549,28486.20227,17317.34789,3937.785997,0.00%
7091,7825.619415,28970.34055,17387.33108,3946.135355,0.00%
8006,7850.766987,28783.98737,17373.19012,3952.314199,0.00%
9040,7761.952802,28672.48627,17358.68418,3945.508963,0.00%
10208,7850.406639,29154.95172,17445.27207,3950.366949,0.00%
11526,7872.474252,29219.89564,17418.54199,3958.925973,0.00%
13014,7872.53143,29140.4287,17299.03444,3957.868418,0.00%
14695,7876.28344,29196.10054,17496.16164,3951.993067,0.00%
16592,7935.125878,29091.72683,17459.95176,3948.549149,0.00%
18735,7873.670094,29177.76165,17333.32476,3936.204846,0.00%
21154,7896.772726,29172.46242,17238.70819,3957.040659,0.00%
23886,7889.690367,29264.52448,17383.93392,3969.774691,0.00%
26971,7852.481144,29151.96179,17306.09016,3931.909827,0.00%
30454,7950.362096,29586.94157,17503.91485,3959.862452,0.00%
